id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,base,3.39 (± 1.13),3.48 (± 1.49),3.97 (± 0.40),4.95 (± 0.21),3.78 (± 1.01),3.04 (± 0.27)
2,base,3.65 (± 1.23),3.25 (± 1.23),2.05 (± 0.58),2.00 (± 0.00),2.94 (± 1.01),1.27 (± 0.61)
3,base,3.70 (± 0.94),4.11 (± 1.01),4.34 (± 0.48),4.21 (± 0.41),3.90 (± 0.78),4.06 (± 0.36)
4,base,3.26 (± 0.82),3.28 (± 1.24),2.34 (± 0.93),2.00 (± 0.03),3.14 (± 1.05),1.34 (± 0.64)
5,base,3.19 (± 1.61),4.06 (± 0.84),4.12 (± 0.52),3.45 (± 1.45),3.74 (± 0.96),4.21 (± 0.42)
6,base,2.39 (± 1.48),3.57 (± 1.37),1.08 (± 0.33),2.00 (± 0.07),2.56 (± 1.09),1.31 (± 0.47)
7,base,3.95 (± 1.15),3.77 (± 1.23),4.12 (± 0.53),4.65 (± 0.57),3.93 (± 0.95),4.00 (± 0.59)
8,base,3.32 (± 1.30),3.91 (± 1.09),1.30 (± 0.58),4.00 (± 0.06),3.68 (± 0.98),1.35 (± 0.67)
9,base,3.29 (± 1.74),3.34 (± 1.45),4.19 (± 0.51),4.19 (± 0.52),3.88 (± 0.95),4.14 (± 0.65)
10,base,3.00 (± 0.94),3.19 (± 1.34),3.90 (± 0.65),4.00 (± 0.09),3.89 (± 0.85),1.28 (± 0.69)
11,base,3.25 (± 1.03),3.58 (± 0.91),2.06 (± 0.34),2.00 (± 0.00),3.29 (± 0.95),1.66 (± 0.67)
13,base,3.10 (± 1.11),3.86 (± 0.75),3.09 (± 0.73),2.00 (± 0.00),3.80 (± 0.89),1.14 (± 0.43)
14,base,3.35 (± 1.12),3.82 (± 1.23),4.93 (± 0.28),4.00 (± 0.05),3.64 (± 1.01),3.98 (± 0.73)
15,base,2.50 (± 1.58),3.24 (± 1.29),1.67 (± 0.98),2.00 (± 0.00),2.98 (± 1.14),1.06 (± 0.23)
16,base,1.26 (± 0.80),3.36 (± 1.24),1.13 (± 0.41),4.81 (± 0.39),3.25 (± 1.16),1.24 (± 0.53)
