id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,base,3.78 (± 1.14),4.73 (± 0.52),2.92 (± 0.39),2.00 (± 0.00),2.38 (± 1.13),2.97 (± 0.23)
2,base,3.97 (± 0.73),3.28 (± 0.75),3.92 (± 0.36),4.46 (± 0.68),2.77 (± 0.96),3.93 (± 0.30)
3,base,2.81 (± 1.12),3.89 (± 1.09),2.81 (± 0.40),2.00 (± 0.00),1.73 (± 0.87),1.94 (± 0.62)
4,base,3.99 (± 0.75),3.41 (± 0.98),3.96 (± 0.29),4.12 (± 0.66),2.31 (± 1.19),3.96 (± 0.42)
5,base,3.55 (± 1.54),3.44 (± 1.60),2.57 (± 0.84),1.92 (± 0.51),2.39 (± 1.23),1.24 (± 0.60)
6,base,3.80 (± 1.31),3.65 (± 1.23),4.12 (± 0.40),4.02 (± 0.14),2.74 (± 1.27),4.21 (± 0.45)
7,base,3.35 (± 1.54),3.09 (± 1.52),2.70 (± 0.90),2.02 (± 0.57),2.15 (± 1.23),1.74 (± 1.44)
8,base,3.79 (± 0.96),3.36 (± 1.44),4.12 (± 0.65),1.04 (± 0.25),2.11 (± 1.18),4.23 (± 0.46)
9,base,3.82 (± 1.46),4.03 (± 1.18),2.83 (± 0.69),5.00 (± 0.00),2.31 (± 1.40),2.34 (± 0.82)
10,base,4.00 (± 0.61),3.56 (± 1.32),4.12 (± 0.88),1.34 (± 0.91),1.78 (± 1.00),4.72 (± 0.47)
11,base,4.22 (± 0.73),3.73 (± 1.21),4.30 (± 0.55),3.45 (± 1.06),2.69 (± 1.16),3.80 (± 0.83)
12,base,3.23 (± 0.66),3.74 (± 1.11),1.64 (± 0.93),1.95 (± 0.26),2.80 (± 1.08),1.08 (± 0.35)
13,base,3.73 (± 0.86),3.65 (± 1.31),4.26 (± 0.58),1.85 (± 0.36),2.14 (± 1.03),4.61 (± 0.51)
14,base,2.49 (± 1.01),1.86 (± 1.17),3.73 (± 1.13),1.74 (± 0.44),2.38 (± 1.25),1.03 (± 0.23)
15,base,4.33 (± 0.62),4.14 (± 1.04),4.49 (± 0.59),1.99 (± 0.11),2.35 (± 1.34),4.02 (± 0.45)
16,base,3.90 (± 1.22),3.85 (± 1.20),4.62 (± 0.49),1.00 (± 0.06),2.18 (± 1.31),3.52 (± 1.29)
17,base,3.86 (± 0.58),3.50 (± 1.00),4.40 (± 0.49),3.98 (± 0.41),2.30 (± 1.07),3.00 (± 0.00)
18,base,3.36 (± 0.93),3.74 (± 1.18),4.85 (± 0.36),1.00 (± 0.00),1.96 (± 1.13),3.00 (± 0.14)
19,base,3.51 (± 1.32),4.00 (± 1.05),4.80 (± 0.40),1.00 (± 0.00),1.98 (± 1.10),3.26 (± 0.53)
20,base,3.46 (± 0.88),3.69 (± 0.93),4.48 (± 0.70),1.94 (± 0.23),2.13 (± 1.27),3.02 (± 0.18)
21,base,4.25 (± 1.00),4.13 (± 1.03),4.48 (± 0.50),4.88 (± 0.34),3.21 (± 1.42),4.37 (± 0.75)
22,base,3.57 (± 1.37),3.65 (± 1.39),1.06 (± 0.32),4.96 (± 0.29),1.82 (± 0.88),1.35 (± 0.58)
23,base,4.67 (± 0.72),4.35 (± 1.40),4.98 (± 0.15),5.00 (± 0.00),3.30 (± 1.45),4.67 (± 0.47)
24,base,3.27 (± 1.12),3.84 (± 1.66),2.96 (± 0.28),1.00 (± 0.00),1.65 (± 0.98),1.04 (± 0.26)
25,base,4.29 (± 0.63),3.86 (± 1.04),4.72 (± 0.46),1.02 (± 0.21),3.19 (± 1.36),4.65 (± 0.49)
26,base,2.61 (± 1.44),2.76 (± 1.52),1.02 (± 0.18),1.00 (± 0.00),1.99 (± 1.05),1.01 (± 0.14)
27,base,4.15 (± 0.51),3.78 (± 1.15),4.82 (± 0.38),4.45 (± 0.50),3.20 (± 1.29),4.90 (± 0.30)
28,base,2.25 (± 1.35),3.00 (± 1.48),2.67 (± 0.66),1.00 (± 0.00),1.83 (± 1.01),1.48 (± 0.57)
29,base,1.94 (± 1.17),2.88 (± 1.42),1.12 (± 0.37),1.00 (± 0.00),1.72 (± 0.78),1.00 (± 0.00)
30,base,1.70 (± 1.13),3.42 (± 1.71),1.55 (± 1.15),1.05 (± 0.22),1.70 (± 0.99),1.08 (± 0.37)
31,base,2.80 (± 1.11),3.19 (± 1.41),2.13 (± 1.00),4.02 (± 0.78),2.42 (± 0.98),1.24 (± 0.65)
32,base,4.28 (± 0.67),3.84 (± 1.01),3.96 (± 0.36),4.21 (± 0.41),2.91 (± 1.10),4.15 (± 0.36)
33,base,2.97 (± 1.06),3.23 (± 1.58),1.26 (± 0.65),1.12 (± 0.33),1.89 (± 0.92),1.02 (± 0.19)
34,base,4.31 (± 0.59),4.19 (± 0.88),4.75 (± 0.44),4.88 (± 0.32),3.11 (± 1.32),4.36 (± 0.48)
35,base,1.86 (± 1.51),3.09 (± 1.80),2.78 (± 0.62),1.89 (± 0.31),2.42 (± 1.21),1.01 (± 0.09)
36,base,4.16 (± 0.64),3.40 (± 1.38),4.46 (± 0.52),3.64 (± 1.07),2.58 (± 1.21),4.22 (± 0.42)
37,base,2.49 (± 1.59),2.64 (± 1.50),2.99 (± 0.13),1.00 (± 0.00),1.66 (± 0.94),1.04 (± 0.24)
38,base,4.47 (± 0.81),4.50 (± 0.97),4.39 (± 0.59),5.00 (± 0.00),3.51 (± 1.25),4.64 (± 0.48)
39,base,2.90 (± 1.39),3.61 (± 1.14),2.93 (± 0.36),1.37 (± 0.48),1.98 (± 1.04),1.07 (± 0.27)
40,base,1.74 (± 1.47),2.58 (± 1.64),1.01 (± 0.13),1.00 (± 0.00),1.54 (± 0.82),1.00 (± 0.06)
41,base,3.29 (± 0.82),3.24 (± 1.44),2.99 (± 0.09),1.71 (± 0.48),1.89 (± 0.92),1.39 (± 0.78)
42,base,3.88 (± 1.08),3.77 (± 1.02),4.01 (± 0.09),4.02 (± 0.13),3.39 (± 1.19),4.80 (± 0.43)
43,base,3.73 (± 0.81),3.09 (± 1.15),1.80 (± 0.66),1.77 (± 0.42),1.81 (± 0.99),1.02 (± 0.18)
44,base,4.43 (± 0.86),3.40 (± 1.07),4.18 (± 0.42),4.22 (± 0.41),3.50 (± 1.26),4.94 (± 0.23)
45,base,3.17 (± 1.61),3.37 (± 1.37),2.07 (± 0.97),1.00 (± 0.00),1.56 (± 0.84),1.00 (± 0.00)
46,base,4.46 (± 0.81),3.42 (± 1.17),4.76 (± 0.47),4.30 (± 0.46),3.60 (± 1.31),4.93 (± 0.25)
47,base,2.11 (± 1.01),3.36 (± 1.19),1.16 (± 0.60),2.04 (± 0.45),1.73 (± 1.10),1.12 (± 0.47)
48,base,3.74 (± 1.06),3.97 (± 1.26),3.18 (± 1.04),1.97 (± 0.18),2.31 (± 1.12),1.48 (± 0.76)
49,base,3.34 (± 0.90),3.53 (± 1.23),2.82 (± 0.42),2.00 (± 0.00),2.12 (± 0.95),2.29 (± 0.92)
50,base,2.89 (± 1.53),3.28 (± 1.21),1.35 (± 0.74),1.00 (± 0.00),1.46 (± 0.90),1.00 (± 0.06)
