id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,base,2.96 (± 0.95),2.41 (± 0.85),2.99 (± 0.16),2.00 (± 0.00),3.59 (± 0.88),1.46 (± 0.53)
2,base,4.26 (± 0.68),4.02 (± 0.70),3.97 (± 0.17),2.00 (± 0.00),3.39 (± 1.13),2.04 (± 0.50)
3,base,2.90 (± 1.62),3.34 (± 1.48),2.53 (± 0.80),3.20 (± 1.09),3.16 (± 1.25),1.30 (± 0.47)
4,base,4.18 (± 1.03),3.58 (± 1.26),4.21 (± 0.43),4.10 (± 0.31),3.26 (± 1.39),3.84 (± 0.66)
5,base,3.36 (± 1.64),3.52 (± 1.47),1.03 (± 0.25),4.07 (± 0.30),3.23 (± 1.18),1.39 (± 0.50)
6,base,4.43 (± 0.77),4.40 (± 0.73),3.00 (± 1.51),4.77 (± 0.42),3.56 (± 1.21),3.80 (± 0.73)
7,base,2.34 (± 1.54),3.41 (± 1.48),2.52 (± 1.32),3.94 (± 0.37),3.36 (± 1.24),1.14 (± 0.39)
8,base,2.23 (± 1.66),3.49 (± 1.62),1.89 (± 1.31),3.52 (± 1.43),2.66 (± 1.43),4.04 (± 1.03)
9,base,3.02 (± 1.50),3.74 (± 1.46),2.92 (± 1.89),2.00 (± 0.00),3.30 (± 1.31),2.11 (± 1.09)
10,base,2.75 (± 1.40),3.62 (± 1.26),4.88 (± 0.35),4.01 (± 0.11),3.45 (± 1.24),4.10 (± 0.33)
11,base,3.15 (± 0.80),3.33 (± 1.30),4.69 (± 0.72),4.00 (± 0.00),3.89 (± 1.10),3.58 (± 0.85)
12,base,2.07 (± 1.21),3.88 (± 1.03),1.14 (± 0.37),2.01 (± 0.13),3.24 (± 1.28),1.20 (± 0.40)
13,base,4.27 (± 0.82),3.73 (± 1.08),1.40 (± 1.13),4.00 (± 0.00),2.93 (± 1.34),4.51 (± 0.53)
14,base,2.10 (± 1.34),3.14 (± 1.28),1.00 (± 0.06),2.01 (± 0.13),3.32 (± 1.24),1.07 (± 0.25)
15,base,4.42 (± 0.77),3.63 (± 1.42),1.48 (± 1.24),4.02 (± 0.15),3.71 (± 1.13),4.31 (± 0.62)
16,base,4.09 (± 1.12),3.54 (± 1.20),1.58 (± 1.36),5.00 (± 0.00),3.80 (± 1.04),4.96 (± 0.21)
17,base,3.09 (± 0.50),3.27 (± 1.22),1.60 (± 1.25),4.06 (± 0.23),3.50 (± 1.05),3.06 (± 0.34)
18,base,3.33 (± 0.70),3.44 (± 1.50),1.72 (± 1.43),5.00 (± 0.06),3.80 (± 0.95),4.94 (± 0.28)
19,base,3.90 (± 0.86),3.52 (± 1.03),1.65 (± 1.39),5.00 (± 0.00),3.80 (± 1.08),4.82 (± 0.42)
20,base,3.30 (± 1.02),3.63 (± 1.46),1.83 (± 1.51),4.10 (± 0.30),3.78 (± 1.08),4.94 (± 0.26)
21,base,4.44 (± 1.06),3.91 (± 1.34),1.04 (± 0.28),4.02 (± 0.15),2.91 (± 1.54),4.65 (± 0.52)
