id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,base,2.28 (± 1.16),2.91 (± 1.43),2.82 (± 0.51),2.00 (± 0.00),3.05 (± 0.70),1.29 (± 0.49)
2,base,2.98 (± 1.28),3.05 (± 0.54),3.49 (± 0.50),4.00 (± 0.00),3.17 (± 0.61),3.09 (± 0.29)
3,base,2.61 (± 1.49),3.15 (± 1.09),2.34 (± 0.51),2.00 (± 0.03),2.96 (± 0.59),2.53 (± 0.56)
4,base,2.86 (± 1.31),3.43 (± 1.27),2.57 (± 0.72),2.11 (± 0.35),3.06 (± 0.57),2.52 (± 0.77)
5,base,4.03 (± 0.80),3.24 (± 0.64),3.97 (± 0.40),4.10 (± 0.30),3.35 (± 0.72),3.03 (± 0.26)
6,base,4.22 (± 0.43),3.19 (± 0.59),3.96 (± 0.20),4.00 (± 0.00),3.18 (± 0.50),3.88 (± 0.34)
7,base,3.16 (± 1.49),1.67 (± 1.47),3.34 (± 0.90),1.07 (± 0.25),1.72 (± 1.03),2.95 (± 0.28)
8,base,3.73 (± 1.00),3.47 (± 0.85),2.99 (± 0.18),4.00 (± 0.00),3.21 (± 0.62),3.00 (± 0.08)
9,base,2.02 (± 0.20),3.26 (± 1.27),2.71 (± 0.48),2.00 (± 0.00),3.34 (± 1.18),2.00 (± 0.00)
10,base,4.04 (± 0.75),3.11 (± 0.44),3.20 (± 0.41),4.00 (± 0.00),3.13 (± 0.42),4.00 (± 0.11)
11,base,3.53 (± 0.95),3.18 (± 0.57),3.14 (± 0.36),4.00 (± 0.00),3.01 (± 0.70),3.04 (± 0.19)
12,base,3.68 (± 1.00),3.07 (± 0.40),3.18 (± 0.38),4.00 (± 0.00),3.50 (± 0.58),3.04 (± 0.18)
13,base,4.19 (± 0.54),3.29 (± 0.66),3.55 (± 0.50),4.00 (± 0.06),4.22 (± 0.65),4.07 (± 0.32)
14,base,4.29 (± 0.58),3.22 (± 0.60),4.00 (± 0.14),4.74 (± 0.44),3.17 (± 0.62),4.00 (± 0.09)
15,base,4.68 (± 0.57),3.69 (± 0.91),3.59 (± 0.64),4.01 (± 0.09),3.83 (± 0.92),4.03 (± 0.17)
16,base,3.66 (± 0.59),2.95 (± 1.51),3.12 (± 0.33),4.00 (± 0.03),2.68 (± 1.00),4.00 (± 0.07)
17,base,3.08 (± 1.44),2.41 (± 1.48),2.28 (± 0.86),2.55 (± 0.90),3.26 (± 0.71),1.01 (± 0.09)
18,base,4.09 (± 0.79),3.19 (± 0.59),3.38 (± 0.49),4.00 (± 0.00),3.20 (± 0.49),4.00 (± 0.12)
19,base,3.62 (± 0.71),3.05 (± 0.33),3.00 (± 0.06),4.00 (± 0.00),3.22 (± 0.45),3.00 (± 0.00)
20,base,3.85 (± 0.74),3.27 (± 0.67),3.05 (± 0.23),4.00 (± 0.00),3.70 (± 0.62),3.00 (± 0.05)
21,base,3.89 (± 0.78),3.08 (± 0.41),3.67 (± 0.48),4.00 (± 0.00),3.66 (± 0.82),4.00 (± 0.25)
22,base,3.56 (± 1.21),3.12 (± 0.49),3.02 (± 0.17),2.01 (± 0.08),3.39 (± 0.68),3.01 (± 0.10)
23,base,4.43 (± 0.71),3.05 (± 1.99),4.77 (± 0.58),5.00 (± 0.03),3.81 (± 0.99),4.42 (± 0.49)
24,base,3.60 (± 0.90),3.53 (± 0.87),2.96 (± 0.22),4.00 (± 0.07),2.93 (± 0.69),2.99 (± 0.17)
25,base,3.57 (± 0.74),2.29 (± 1.37),2.99 (± 0.08),2.00 (± 0.06),2.08 (± 0.83),1.98 (± 0.14)
26,base,4.52 (± 0.54),3.28 (± 0.65),3.99 (± 0.08),4.00 (± 0.00),3.36 (± 0.68),4.01 (± 0.12)
27,base,3.66 (± 1.26),3.49 (± 1.46),2.92 (± 0.33),4.00 (± 0.00),2.40 (± 1.12),1.57 (± 0.55)
28,base,3.62 (± 1.03),3.17 (± 0.56),3.22 (± 0.44),4.00 (± 0.00),3.27 (± 0.64),3.00 (± 0.15)
29,base,3.18 (± 0.84),3.02 (± 0.20),2.95 (± 0.25),2.51 (± 0.86),3.20 (± 0.61),2.99 (± 0.12)
30,base,4.32 (± 0.68),3.08 (± 0.36),3.91 (± 0.47),4.05 (± 0.21),3.19 (± 0.62),4.14 (± 0.34)
31,base,4.69 (± 0.50),4.62 (± 0.57),4.34 (± 0.50),4.00 (± 0.00),3.68 (± 0.76),4.02 (± 0.17)
32,base,3.60 (± 1.29),3.48 (± 0.92),3.00 (± 0.21),4.00 (± 0.00),3.08 (± 0.73),3.00 (± 0.04)
