id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,base,2.31 (± 1.17),2.83 (± 1.38),2.77 (± 0.55),2.00 (± 0.00),3.09 (± 0.72),1.30 (± 0.51)
2,base,1.71 (± 1.09),3.66 (± 1.06),3.92 (± 0.63),4.09 (± 0.36),3.18 (± 0.96),3.88 (± 0.53)
3,base,3.67 (± 1.17),3.50 (± 1.10),3.70 (± 0.46),4.00 (± 0.09),3.12 (± 0.96),3.03 (± 0.27)
4,base,3.17 (± 1.52),3.27 (± 1.36),1.48 (± 0.67),2.00 (± 0.04),2.71 (± 0.98),1.55 (± 0.82)
5,base,3.19 (± 1.69),3.56 (± 1.25),3.96 (± 0.21),1.05 (± 0.31),3.54 (± 0.80),4.04 (± 0.25)
6,base,4.32 (± 0.55),4.07 (± 1.10),4.52 (± 0.50),4.56 (± 0.76),3.46 (± 0.83),3.93 (± 0.64)
7,base,3.19 (± 1.81),3.42 (± 1.31),1.92 (± 0.66),1.45 (± 0.52),2.02 (± 1.08),2.65 (± 1.29)
8,base,3.73 (± 1.03),3.62 (± 1.09),2.92 (± 0.46),2.26 (± 0.63),3.05 (± 0.98),2.59 (± 0.76)
9,base,2.49 (± 0.92),2.92 (± 1.67),2.56 (± 0.58),3.76 (± 0.73),2.69 (± 1.02),1.20 (± 0.41)
10,base,4.21 (± 0.74),3.66 (± 1.12),3.97 (± 0.45),1.08 (± 0.51),3.45 (± 0.84),4.02 (± 0.21)
11,base,3.47 (± 1.11),3.76 (± 1.16),3.92 (± 0.53),4.00 (± 0.00),3.02 (± 1.01),3.65 (± 0.50)
12,base,3.14 (± 1.41),3.49 (± 1.10),3.14 (± 0.39),3.95 (± 0.29),3.35 (± 0.80),3.28 (± 0.51)
13,base,3.80 (± 1.30),4.61 (± 0.88),4.25 (± 0.43),5.00 (± 0.03),3.93 (± 0.74),4.01 (± 0.19)
14,base,4.09 (± 1.06),3.63 (± 1.37),4.75 (± 0.43),4.32 (± 1.13),3.44 (± 0.92),4.36 (± 0.49)
15,base,4.07 (± 1.17),4.46 (± 1.23),3.54 (± 1.06),4.83 (± 0.38),3.68 (± 1.14),1.25 (± 0.78)
16,base,3.65 (± 1.31),2.77 (± 1.72),3.41 (± 1.13),4.08 (± 0.45),2.58 (± 1.22),1.08 (± 0.42)
17,base,2.56 (± 1.69),3.32 (± 1.67),1.01 (± 0.12),3.31 (± 1.73),2.68 (± 1.04),1.14 (± 0.34)
18,base,3.62 (± 0.79),3.79 (± 1.18),4.05 (± 0.61),4.00 (± 0.00),3.39 (± 0.88),4.02 (± 0.23)
19,base,3.63 (± 0.82),3.67 (± 0.97),3.07 (± 0.25),2.24 (± 0.65),3.16 (± 0.81),3.78 (± 0.47)
20,base,2.10 (± 1.48),3.56 (± 1.19),3.60 (± 0.56),2.01 (± 0.19),3.13 (± 1.06),1.80 (± 0.89)
21,base,3.12 (± 1.33),4.26 (± 1.01),4.13 (± 0.35),1.50 (± 1.32),3.88 (± 0.87),4.19 (± 0.39)
22,base,2.51 (± 1.55),3.61 (± 1.17),1.73 (± 0.44),2.00 (± 0.04),2.95 (± 1.14),1.07 (± 0.32)
23,base,3.03 (± 1.76),3.17 (± 1.77),1.64 (± 1.17),5.00 (± 0.03),2.90 (± 1.44),1.06 (± 0.46)
24,base,3.75 (± 0.94),3.58 (± 1.15),3.06 (± 0.30),2.75 (± 0.82),2.99 (± 1.10),2.99 (± 0.13)
25,base,2.72 (± 1.24),2.88 (± 1.51),2.01 (± 0.08),2.02 (± 0.19),2.41 (± 0.94),1.14 (± 0.36)
26,base,4.36 (± 0.62),3.83 (± 1.05),4.59 (± 0.49),4.03 (± 0.16),3.54 (± 0.84),4.06 (± 0.24)
27,base,3.01 (± 1.54),2.92 (± 1.64),1.77 (± 0.79),1.62 (± 0.49),2.29 (± 1.16),1.00 (± 0.04)
28,base,3.51 (± 1.38),3.90 (± 0.90),3.62 (± 0.57),3.30 (± 0.61),3.32 (± 0.93),3.00 (± 0.29)
29,base,3.45 (± 1.29),3.42 (± 1.29),1.07 (± 0.29),3.94 (± 0.35),2.87 (± 0.94),1.28 (± 0.45)
30,base,4.25 (± 0.90),4.31 (± 1.07),4.72 (± 0.45),4.38 (± 0.49),3.44 (± 0.93),4.07 (± 0.28)
31,base,4.56 (± 0.79),4.67 (± 0.68),4.59 (± 0.66),5.00 (± 0.05),3.62 (± 1.17),4.26 (± 0.83)
32,base,4.19 (± 0.81),3.29 (± 1.44),2.94 (± 0.76),4.01 (± 0.12),3.25 (± 0.99),2.92 (± 0.37)
