id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,base,3.70 (± 0.73),3.04 (± 0.27),3.08 (± 0.27),4.00 (± 0.00),3.47 (± 0.64),3.86 (± 0.34)
2,base,3.82 (± 1.16),3.66 (± 1.31),2.96 (± 0.21),2.00 (± 0.00),3.35 (± 0.87),1.99 (± 0.40)
3,base,3.00 (± 1.04),4.25 (± 1.14),3.31 (± 0.60),4.09 (± 0.29),2.92 (± 0.89),2.85 (± 0.57)
4,base,3.88 (± 1.13),3.46 (± 1.56),3.89 (± 0.54),4.04 (± 0.19),3.39 (± 0.97),3.80 (± 0.42)
5,base,2.66 (± 1.53),3.69 (± 1.20),2.26 (± 0.52),4.06 (± 0.33),3.18 (± 0.89),1.64 (± 0.53)
6,base,2.04 (± 0.27),3.56 (± 1.58),1.90 (± 0.37),3.34 (± 1.01),2.53 (± 0.87),1.52 (± 0.52)
7,base,4.25 (± 1.06),3.46 (± 1.40),1.16 (± 0.43),1.48 (± 0.52),2.74 (± 1.34),1.42 (± 0.50)
8,base,2.36 (± 0.74),3.64 (± 1.29),1.51 (± 0.72),4.01 (± 0.11),2.39 (± 0.93),3.74 (± 0.71)
9,base,3.94 (± 0.84),3.59 (± 1.09),3.18 (± 0.38),4.92 (± 0.28),3.72 (± 0.71),4.01 (± 0.16)
10,base,2.61 (± 1.18),3.56 (± 1.48),2.00 (± 0.14),3.84 (± 0.54),2.77 (± 1.20),1.04 (± 0.21)
11,base,3.58 (± 1.44),3.60 (± 1.14),2.99 (± 0.11),3.66 (± 0.76),3.50 (± 0.82),2.80 (± 0.43)
12,base,2.59 (± 1.15),3.71 (± 1.58),1.96 (± 0.21),2.15 (± 0.47),2.33 (± 0.96),1.16 (± 0.37)
13,base,3.40 (± 1.55),2.98 (± 1.52),2.03 (± 0.24),1.64 (± 0.48),2.19 (± 1.20),1.11 (± 0.32)
14,base,2.01 (± 1.45),3.86 (± 1.19),2.20 (± 0.58),4.00 (± 0.00),2.79 (± 1.20),1.96 (± 0.99)
15,base,1.35 (± 1.01),1.39 (± 1.02),1.00 (± 0.06),1.00 (± 0.06),1.72 (± 1.03),1.28 (± 0.45)
16,base,3.68 (± 0.99),3.33 (± 1.17),1.42 (± 0.52),3.20 (± 1.02),3.14 (± 0.93),1.31 (± 0.49)
17,base,2.87 (± 1.48),3.73 (± 1.28),3.98 (± 0.13),4.28 (± 0.46),3.68 (± 0.77),4.03 (± 0.20)
18,base,3.35 (± 1.47),3.17 (± 1.60),1.74 (± 0.46),2.00 (± 0.21),2.45 (± 1.15),1.00 (± 0.00)
19,base,3.72 (± 0.88),4.03 (± 1.23),3.01 (± 0.09),4.00 (± 0.06),3.48 (± 0.80),3.17 (± 0.43)
20,base,2.50 (± 0.97),3.00 (± 1.37),3.98 (± 0.44),4.00 (± 0.00),2.73 (± 1.03),3.83 (± 0.45)
21,base,2.90 (± 1.86),2.43 (± 1.73),1.33 (± 0.48),1.92 (± 0.27),1.57 (± 1.19),1.00 (± 0.00)
22,base,4.09 (± 1.00),3.64 (± 1.34),3.76 (± 0.85),4.00 (± 0.00),3.34 (± 1.07),3.92 (± 0.32)
23,base,4.66 (± 0.72),3.30 (± 1.18),1.69 (± 1.10),1.94 (± 0.25),2.85 (± 1.21),1.02 (± 0.14)
24,base,2.30 (± 0.77),3.40 (± 1.67),2.85 (± 0.94),4.00 (± 0.00),2.59 (± 1.10),3.88 (± 0.34)
25,base,3.97 (± 0.22),4.04 (± 1.08),4.05 (± 0.21),4.16 (± 0.36),3.97 (± 0.68),4.00 (± 0.06)
26,base,4.13 (± 1.08),3.68 (± 1.24),2.35 (± 0.85),2.00 (± 0.06),2.70 (± 1.15),1.15 (± 0.36)
27,base,2.34 (± 0.78),4.22 (± 1.40),3.24 (± 1.03),4.01 (± 0.09),2.85 (± 1.10),1.39 (± 0.72)
28,base,2.01 (± 0.11),3.53 (± 1.19),3.35 (± 1.02),2.01 (± 0.13),2.40 (± 1.07),1.15 (± 0.41)
29,base,3.54 (± 1.15),4.04 (± 0.94),4.01 (± 0.16),4.04 (± 0.20),3.51 (± 0.76),4.00 (± 0.14)
30,base,3.01 (± 1.53),3.63 (± 1.51),1.90 (± 0.40),2.98 (± 1.03),2.60 (± 1.02),1.04 (± 0.21)
31,base,3.04 (± 1.58),3.52 (± 1.38),2.50 (± 1.35),2.04 (± 0.27),2.58 (± 1.05),3.33 (± 0.67)
32,base,3.06 (± 1.70),3.41 (± 1.77),2.86 (± 1.08),4.01 (± 0.11),2.79 (± 1.32),2.16 (± 1.57)
