persona,model,authority,catch,fairness,harm,ingroup,purity
conservative,llama3.1:8b,4.01 (± 0.48),2.50 (± 2.51),3.40 (± 0.56),3.40 (± 0.92),3.03 (± 0.83),3.05 (± 0.52)
conservative,llama2:70b,3.96 (± 0.25),2.71 (± 1.78),3.60 (± 0.49),3.57 (± 0.90),3.27 (± 0.73),3.19 (± 1.07)
conservative,llama3:70b,4.00 (± 0.00),2.60 (± 2.43),3.00 (± 0.00),3.06 (± 0.24),3.00 (± 0.00),3.00 (± 0.00)
conservative,llama3.1:70b,3.98 (± 0.15),2.83 (± 2.11),3.03 (± 0.16),3.15 (± 0.36),3.06 (± 0.23),2.95 (± 0.22)
conservative,mistral:7b,3.48 (± 0.65),2.41 (± 2.49),3.26 (± 0.67),3.15 (± 0.87),2.68 (± 0.47),2.53 (± 0.50)
conservative,mixtral:8x22b,4.16 (± 1.02),2.53 (± 2.19),3.49 (± 0.75),3.44 (± 1.04),3.34 (± 0.84),3.83 (± 1.01)
conservative,mixtral:8x7b,4.50 (± 0.50),2.98 (± 2.01),3.00 (± 0.00),3.46 (± 0.77),3.00 (± 0.00),3.13 (± 0.34)
conservative,phi3:14b,3.98 (± 0.26),2.50 (± 2.51),4.40 (± 0.57),4.17 (± 0.78),3.73 (± 0.71),3.61 (± 0.68)
conservative,gemma:7b,3.91 (± 0.28),2.76 (± 2.28),3.40 (± 0.49),3.43 (± 1.39),2.92 (± 0.65),2.96 (± 0.25)
conservative,gemma2:27b,4.00 (± 0.00),3.00 (± 2.01),3.03 (± 0.17),3.00 (± 0.00),3.00 (± 0.00),2.95 (± 0.21)
conservative,qwen:72b,4.70 (± 0.46),2.50 (± 2.51),4.82 (± 0.53),4.59 (± 0.76),4.44 (± 0.73),4.65 (± 0.63)
conservative,qwen2:72b,4.00 (± 0.00),2.50 (± 2.51),3.50 (± 0.50),3.28 (± 0.45),2.89 (± 0.39),3.17 (± 0.69)
moderate,llama3.1:8b,2.93 (± 0.51),2.46 (± 2.48),3.16 (± 0.38),3.32 (± 0.82),2.95 (± 0.43),2.23 (± 0.63)
moderate,llama2:70b,2.96 (± 0.50),2.56 (± 1.75),3.67 (± 0.47),3.49 (± 0.78),3.21 (± 0.42),2.34 (± 1.27)
moderate,llama3:70b,3.00 (± 0.00),2.50 (± 2.51),3.15 (± 0.36),3.10 (± 0.30),3.00 (± 0.00),2.00 (± 0.00)
moderate,llama3.1:70b,2.98 (± 0.15),2.60 (± 2.41),3.26 (± 0.44),3.37 (± 0.62),3.00 (± 0.00),2.00 (± 0.00)
moderate,mistral:7b,2.66 (± 0.47),2.50 (± 2.51),3.33 (± 0.75),3.22 (± 0.86),2.68 (± 0.47),1.98 (± 0.15)
moderate,mixtral:8x22b,3.13 (± 0.72),2.70 (± 2.05),3.19 (± 0.69),3.16 (± 0.81),2.97 (± 0.50),2.21 (± 0.87)
moderate,mixtral:8x7b,3.17 (± 0.37),2.62 (± 2.41),3.33 (± 0.47),3.50 (± 0.77),3.00 (± 0.00),2.00 (± 0.00)
moderate,phi3:14b,3.81 (± 0.70),2.50 (± 2.51),4.65 (± 0.48),4.46 (± 0.66),3.94 (± 0.70),3.06 (± 1.51)
moderate,gemma:7b,2.84 (± 0.37),2.93 (± 2.03),3.39 (± 0.49),3.56 (± 1.12),2.97 (± 0.34),2.29 (± 0.48)
moderate,gemma2:27b,3.00 (± 0.00),2.82 (± 1.86),3.17 (± 0.38),3.00 (± 0.00),3.00 (± 0.00),2.00 (± 0.00)
moderate,qwen:72b,3.65 (± 1.01),2.50 (± 2.51),4.85 (± 0.48),4.63 (± 0.75),3.91 (± 0.99),3.56 (± 1.22)
moderate,qwen2:72b,2.82 (± 0.63),2.50 (± 2.51),3.50 (± 0.50),3.33 (± 0.47),3.00 (± 0.00),2.00 (± 0.00)
liberal,llama3.1:8b,1.80 (± 0.53),2.43 (± 2.45),4.00 (± 0.00),4.07 (± 0.26),2.04 (± 0.54),0.98 (± 1.12)
liberal,llama2:70b,1.92 (± 0.79),2.22 (± 1.85),3.88 (± 0.32),4.00 (± 0.00),2.38 (± 0.53),1.10 (± 0.75)
liberal,llama3:70b,2.00 (± 0.00),2.50 (± 2.51),4.00 (± 0.00),4.00 (± 0.00),2.00 (± 0.00),1.00 (± 0.00)
liberal,llama3.1:70b,2.00 (± 0.00),2.54 (± 2.48),4.13 (± 0.34),4.12 (± 0.32),2.00 (± 0.00),1.03 (± 0.16)
liberal,mistral:7b,1.70 (± 0.46),2.50 (± 2.51),4.34 (± 0.47),4.64 (± 0.48),1.88 (± 0.45),1.50 (± 0.50)
liberal,mixtral:8x22b,1.84 (± 0.66),2.63 (± 2.19),4.09 (± 0.60),4.19 (± 0.52),1.81 (± 0.78),1.33 (± 0.80)
liberal,mixtral:8x7b,2.00 (± 0.00),3.00 (± 2.01),4.33 (± 0.47),4.57 (± 0.50),2.00 (± 0.00),1.50 (± 0.50)
liberal,phi3:14b,2.73 (± 1.13),2.50 (± 2.51),4.44 (± 0.50),4.33 (± 0.47),2.14 (± 0.66),2.37 (± 1.56)
liberal,gemma:7b,2.02 (± 0.12),2.18 (± 1.90),3.95 (± 0.22),4.25 (± 0.43),2.00 (± 0.00),2.46 (± 1.40)
liberal,gemma2:27b,2.00 (± 0.00),2.77 (± 2.27),4.00 (± 0.00),4.09 (± 0.29),2.00 (± 0.00),1.14 (± 0.34)
liberal,qwen:72b,3.10 (± 1.26),2.51 (± 2.50),4.93 (± 0.25),5.00 (± 0.06),3.30 (± 1.43),3.93 (± 1.13)
liberal,qwen2:72b,2.08 (± 0.50),2.50 (± 2.51),4.17 (± 0.37),4.38 (± 0.49),1.96 (± 0.20),1.93 (± 0.25)
