id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,base,4.77 (± 0.48),3.79 (± 0.53),3.85 (± 0.49),5.00 (± 0.00),4.47 (± 0.59),4.77 (± 0.42)
2,base,3.37 (± 1.18),3.16 (± 1.63),2.90 (± 0.45),3.93 (± 0.37),3.31 (± 0.88),3.02 (± 0.15)
3,base,3.65 (± 1.21),3.11 (± 0.38),3.76 (± 0.45),4.00 (± 0.00),4.01 (± 0.59),3.98 (± 0.17)
4,base,4.11 (± 0.78),3.21 (± 0.53),3.14 (± 0.38),4.00 (± 0.00),3.82 (± 0.75),4.10 (± 0.31)
5,base,4.06 (± 0.70),3.34 (± 0.47),3.48 (± 0.52),4.00 (± 0.00),4.12 (± 0.64),4.02 (± 0.20)
6,base,4.43 (± 0.59),4.43 (± 0.74),3.94 (± 0.65),4.00 (± 0.00),3.74 (± 0.93),4.00 (± 0.21)
7,base,4.81 (± 0.44),3.80 (± 0.50),4.09 (± 0.50),5.00 (± 0.00),4.47 (± 0.52),4.70 (± 0.46)
8,base,3.47 (± 1.03),3.20 (± 1.13),3.00 (± 0.30),4.00 (± 0.00),3.34 (± 0.74),3.04 (± 0.22)
9,base,4.13 (± 0.73),3.04 (± 0.26),3.66 (± 0.49),4.00 (± 0.00),4.12 (± 0.48),4.01 (± 0.14)
10,base,4.32 (± 0.64),3.26 (± 0.53),3.05 (± 0.31),4.00 (± 0.00),4.03 (± 0.82),4.01 (± 0.09)
11,base,3.93 (± 0.51),3.24 (± 0.52),3.93 (± 0.25),4.00 (± 0.00),3.73 (± 0.65),3.97 (± 0.20)
12,base,4.38 (± 0.79),3.23 (± 0.57),3.16 (± 0.38),2.36 (± 0.50),3.98 (± 1.00),3.51 (± 0.58)
13,base,4.83 (± 0.41),3.99 (± 0.16),4.22 (± 0.54),5.00 (± 0.00),4.58 (± 0.53),4.97 (± 0.17)
14,base,3.72 (± 1.10),3.45 (± 0.63),2.89 (± 0.36),4.00 (± 0.00),3.56 (± 0.82),3.14 (± 0.36)
15,base,4.14 (± 0.74),3.15 (± 0.47),3.80 (± 0.59),4.32 (± 0.47),4.25 (± 0.56),4.12 (± 0.33)
16,base,4.35 (± 0.71),3.44 (± 0.74),3.21 (± 0.49),5.00 (± 0.00),4.15 (± 0.57),4.02 (± 0.24)
17,base,4.30 (± 0.65),3.17 (± 0.39),3.24 (± 0.44),4.00 (± 0.00),4.09 (± 0.56),4.00 (± 0.13)
18,base,4.04 (± 0.63),3.43 (± 0.56),3.98 (± 0.64),4.03 (± 0.17),4.10 (± 0.67),3.98 (± 0.17)
19,base,4.26 (± 0.65),3.99 (± 0.22),3.71 (± 0.53),5.00 (± 0.00),4.23 (± 0.46),4.66 (± 0.48)
20,base,2.87 (± 1.51),3.45 (± 1.07),3.68 (± 0.55),4.00 (± 0.00),3.57 (± 0.86),2.99 (± 0.09)
21,base,4.66 (± 0.53),3.74 (± 0.52),3.96 (± 0.58),5.00 (± 0.00),4.33 (± 0.57),4.02 (± 0.15)
22,base,4.34 (± 0.63),3.37 (± 0.63),3.31 (± 0.47),4.02 (± 0.14),3.61 (± 0.82),4.01 (± 0.11)
23,base,4.19 (± 0.62),3.24 (± 0.47),3.18 (± 0.42),4.00 (± 0.00),3.93 (± 0.57),3.98 (± 0.19)
24,base,3.13 (± 0.93),3.10 (± 0.85),2.66 (± 0.49),2.00 (± 0.00),3.02 (± 0.56),2.00 (± 0.82)
25,base,4.50 (± 0.68),3.60 (± 0.56),4.01 (± 0.62),5.00 (± 0.00),4.25 (± 0.51),4.14 (± 0.34)
26,base,3.39 (± 1.15),3.52 (± 0.54),3.24 (± 0.47),2.14 (± 0.52),3.04 (± 0.55),3.06 (± 0.23)
27,base,4.44 (± 0.62),3.29 (± 0.57),3.71 (± 0.62),4.30 (± 0.46),4.10 (± 0.52),4.03 (± 0.17)
28,base,4.48 (± 0.56),3.51 (± 0.77),3.41 (± 0.52),5.00 (± 0.00),3.74 (± 0.68),3.97 (± 0.17)
29,base,3.74 (± 1.11),3.14 (± 0.43),3.55 (± 0.53),4.00 (± 0.00),3.95 (± 0.73),3.78 (± 0.43)
30,base,3.85 (± 0.93),3.20 (± 0.49),3.29 (± 0.46),4.00 (± 0.00),3.34 (± 0.83),3.03 (± 0.17)
31,base,4.46 (± 0.57),3.99 (± 0.27),4.34 (± 0.72),5.00 (± 0.00),4.13 (± 0.53),4.10 (± 0.31)
32,base,3.63 (± 0.85),3.23 (± 0.58),3.14 (± 0.34),4.00 (± 0.00),3.61 (± 0.79),3.97 (± 0.20)
33,base,4.53 (± 0.67),3.22 (± 0.98),3.80 (± 0.46),4.94 (± 0.25),4.12 (± 0.38),4.00 (± 0.06)
34,base,4.19 (± 0.64),3.15 (± 0.45),3.32 (± 0.48),4.01 (± 0.09),4.11 (± 0.66),4.02 (± 0.17)
35,base,4.22 (± 0.73),3.20 (± 0.48),3.80 (± 0.44),4.00 (± 0.00),3.77 (± 0.82),3.58 (± 0.49)
36,base,3.06 (± 1.40),3.17 (± 0.60),3.00 (± 0.09),2.02 (± 0.14),3.47 (± 0.68),3.00 (± 0.17)
