id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,Argentina,4.94 (± 0.24),3.50 (± 1.97),4.27 (± 0.57),5.00 (± 0.00),4.44 (± 0.63),4.90 (± 0.30)
1,Belgium,4.90 (± 0.30),2.14 (± 1.57),4.38 (± 0.64),5.00 (± 0.00),4.29 (± 0.68),4.76 (± 0.43)
1,Chile,4.98 (± 0.14),2.50 (± 1.73),4.28 (± 0.76),5.00 (± 0.00),4.58 (± 0.64),4.86 (± 0.35)
1,Colombia,4.96 (± 0.20),2.50 (± 1.73),4.02 (± 0.59),5.00 (± 0.00),4.55 (± 0.68),4.84 (± 0.37)
1,Egypt,5.00 (± 0.00),3.20 (± 2.05),4.28 (± 0.61),5.00 (± 0.00),4.51 (± 0.78),4.96 (± 0.20)
1,France,4.88 (± 0.33),2.11 (± 1.76),4.38 (± 0.64),5.00 (± 0.00),4.33 (± 0.68),4.88 (± 0.33)
1,Ireland,4.96 (± 0.20),1.67 (± 1.41),4.24 (± 0.82),5.00 (± 0.00),4.35 (± 0.65),4.84 (± 0.37)
1,Japan,4.88 (± 0.59),1.88 (± 1.64),4.10 (± 0.71),5.00 (± 0.00),4.18 (± 0.88),4.96 (± 0.20)
1,Kenya,4.90 (± 0.30),1.00 (± 0.00),4.48 (± 0.58),5.00 (± 0.00),4.76 (± 0.49),4.90 (± 0.30)
1,Mexico,4.94 (± 0.24),2.25 (± 1.75),4.28 (± 0.76),5.00 (± 0.00),4.39 (± 0.97),4.94 (± 0.24)
1,Morocco,4.96 (± 0.20),2.36 (± 1.50),4.18 (± 0.44),5.00 (± 0.00),4.39 (± 0.72),4.92 (± 0.27)
1,New Zealand,4.94 (± 0.24),3.71 (± 1.50),3.98 (± 0.65),5.00 (± 0.00),4.31 (± 0.67),4.86 (± 0.35)
1,Nigeria,4.90 (± 0.30),2.00 (± 2.00),4.20 (± 0.61),5.00 (± 0.00),4.49 (± 0.69),4.80 (± 0.40)
1,Peru,4.94 (± 0.24),3.12 (± 1.89),4.42 (± 0.73),5.00 (± 0.00),4.47 (± 0.83),4.96 (± 0.20)
1,Russia,4.72 (± 0.73),1.80 (± 1.79),4.12 (± 0.52),5.00 (± 0.00),3.83 (± 1.08),4.90 (± 0.30)
1,Saudi Arabia,4.98 (± 0.14),1.50 (± 1.22),4.14 (± 0.53),5.00 (± 0.00),4.41 (± 0.82),4.98 (± 0.14)
1,South Africa,4.90 (± 0.37),2.88 (± 2.03),4.24 (± 0.56),5.00 (± 0.00),4.63 (± 0.54),4.78 (± 0.42)
1,Switzerland,4.96 (± 0.20),2.60 (± 1.52),4.14 (± 0.57),5.00 (± 0.00),4.28 (± 0.64),4.74 (± 0.44)
1,UAE,4.94 (± 0.24),2.43 (± 1.90),4.40 (± 0.64),5.00 (± 0.00),4.61 (± 0.75),4.96 (± 0.20)
2,Argentina,3.14 (± 1.26),1.80 (± 1.79),2.53 (± 0.68),2.00 (± 0.00),3.31 (± 0.95),3.02 (± 0.14)
2,Belgium,3.20 (± 1.39),2.50 (± 1.91),2.72 (± 0.64),2.00 (± 0.00),3.22 (± 0.79),2.98 (± 0.14)
2,Chile,3.14 (± 1.44),2.20 (± 1.64),2.77 (± 0.56),2.00 (± 0.00),3.59 (± 0.80),3.00 (± 0.00)
2,Colombia,2.86 (± 1.39),4.25 (± 0.96),2.83 (± 0.54),2.00 (± 0.00),3.75 (± 0.71),3.00 (± 0.00)
2,Egypt,3.08 (± 1.50),1.40 (± 0.89),2.68 (± 0.59),2.00 (± 0.00),3.25 (± 0.81),3.00 (± 0.00)
2,France,3.02 (± 1.28),1.00 (± 0.00),2.53 (± 0.62),2.00 (± 0.00),3.03 (± 0.77),3.04 (± 0.20)
2,Ireland,2.88 (± 1.47),3.50 (± 1.73),2.76 (± 0.52),2.00 (± 0.00),3.33 (± 0.76),3.02 (± 0.14)
2,Japan,2.86 (± 1.29),2.33 (± 2.31),2.76 (± 0.64),2.00 (± 0.00),3.03 (± 0.84),2.94 (± 0.24)
2,Kenya,3.16 (± 1.33),1.00 (± nan0),2.60 (± 0.61),2.00 (± 0.00),3.53 (± 0.84),3.00 (± 0.00)
2,Mexico,3.04 (± 1.31),1.25 (± 0.50),2.62 (± 0.61),2.00 (± 0.00),3.64 (± 0.99),3.02 (± 0.14)
2,Morocco,3.14 (± 1.29),1.80 (± 1.79),2.46 (± 0.58),2.00 (± 0.00),3.49 (± 0.72),2.98 (± 0.14)
2,New Zealand,3.10 (± 1.19),2.67 (± 1.73),2.65 (± 0.63),2.00 (± 0.00),3.22 (± 0.82),3.00 (± 0.00)
2,Nigeria,2.86 (± 1.14),2.00 (± 2.00),2.49 (± 0.62),2.00 (± 0.00),3.39 (± 0.75),3.00 (± 0.00)
