id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
1,base,1.54 (± 0.79),2.24 (± 0.64),1.88 (± 0.64),1.00 (± 0.00),1.12 (± 0.35),1.00 (± 0.00)
2,base,3.39 (± 1.20),4.57 (± 0.70),3.02 (± 0.32),2.00 (± 0.00),2.74 (± 0.80),3.03 (± 0.22)
3,base,3.16 (± 1.24),2.91 (± 0.47),2.32 (± 0.49),1.99 (± 0.11),1.99 (± 0.66),2.16 (± 0.42)
4,base,2.18 (± 1.03),3.20 (± 0.61),2.96 (± 0.22),2.00 (± 0.00),2.33 (± 0.76),1.20 (± 0.41)
5,base,2.64 (± 0.97),2.86 (± 0.39),2.93 (± 0.28),2.00 (± 0.00),2.19 (± 0.86),1.46 (± 0.57)
6,base,2.14 (± 1.05),4.41 (± 1.10),2.38 (± 0.71),1.17 (± 0.38),2.36 (± 0.86),1.97 (± 0.33)
7,base,1.12 (± 0.34),1.64 (± 0.80),1.01 (± 0.11),1.00 (± 0.00),1.35 (± 0.72),1.06 (± 0.23)
8,base,3.09 (± 0.96),4.47 (± 0.82),2.99 (± 0.19),2.00 (± 0.00),2.94 (± 0.75),3.04 (± 0.19)
9,base,1.94 (± 0.90),2.47 (± 0.86),1.61 (± 0.50),1.97 (± 0.18),1.63 (± 0.75),1.94 (± 0.58)
10,base,1.59 (± 0.83),3.21 (± 0.72),2.99 (± 0.19),1.03 (± 0.18),2.18 (± 0.97),1.76 (± 0.71)
11,base,2.27 (± 0.86),2.98 (± 0.31),2.05 (± 0.35),2.00 (± 0.00),2.49 (± 0.76),2.43 (± 0.57)
12,base,2.06 (± 1.14),3.17 (± 0.57),2.99 (± 0.09),4.88 (± 0.34),2.41 (± 0.94),2.92 (± 0.46)
13,base,1.27 (± 0.55),1.38 (± 0.49),1.05 (± 0.21),1.00 (± 0.00),1.10 (± 0.36),1.00 (± 0.00)
14,base,2.60 (± 1.19),3.72 (± 0.93),3.03 (± 0.24),2.00 (± 0.00),2.79 (± 0.90),2.90 (± 0.30)
15,base,2.33 (± 0.95),2.82 (± 0.58),2.35 (± 0.55),1.00 (± 0.00),1.40 (± 0.65),1.10 (± 0.31)
16,base,1.93 (± 0.87),3.66 (± 0.97),2.92 (± 0.28),1.00 (± 0.00),2.02 (± 0.71),1.82 (± 0.60)
17,base,1.51 (± 0.73),3.04 (± 0.46),2.97 (± 0.18),2.00 (± 0.00),2.00 (± 0.76),1.84 (± 0.46)
18,base,1.86 (± 0.84),2.17 (± 0.91),1.03 (± 0.18),1.00 (± 0.00),2.30 (± 0.90),1.90 (± 0.33)
19,base,1.67 (± 0.65),1.03 (± 0.18),1.70 (± 0.49),1.00 (± 0.00),1.24 (± 0.45),1.00 (± 0.00)
20,base,2.97 (± 1.47),4.51 (± 0.79),1.92 (± 0.89),2.00 (± 0.00),2.49 (± 1.03),3.14 (± 0.40)
21,base,1.26 (± 0.54),1.09 (± 0.48),1.67 (± 0.51),1.00 (± 0.00),1.17 (± 0.50),1.05 (± 0.22)
22,base,1.66 (± 0.73),2.63 (± 0.71),2.85 (± 0.37),1.67 (± 0.47),2.61 (± 0.78),1.73 (± 0.63)
23,base,1.87 (± 0.75),2.90 (± 0.49),2.25 (± 0.50),2.00 (± 0.00),1.93 (± 0.69),2.18 (± 0.50)
24,base,2.55 (± 0.86),4.03 (± 0.78),3.00 (± 0.00),4.00 (± 0.00),3.07 (± 0.58),4.00 (± 0.11)
25,base,1.58 (± 0.66),2.21 (± 0.60),1.76 (± 0.46),1.00 (± 0.00),1.18 (± 0.42),1.48 (± 0.50)
26,base,3.22 (± 1.11),2.41 (± 0.50),2.74 (± 0.46),2.00 (± 0.00),2.95 (± 0.74),2.96 (± 0.25)
27,base,1.57 (± 0.77),2.64 (± 0.62),1.80 (± 0.53),1.00 (± 0.00),1.51 (± 0.75),1.72 (± 0.45)
28,base,1.44 (± 0.79),2.97 (± 0.88),2.11 (± 0.37),1.00 (± 0.00),2.53 (± 0.81),2.22 (± 0.51)
29,base,3.81 (± 1.11),2.85 (± 0.57),2.13 (± 0.48),2.00 (± 0.00),2.18 (± 0.81),2.79 (± 0.50)
30,base,2.87 (± 1.09),3.01 (± 0.32),2.99 (± 0.09),2.00 (± 0.00),2.54 (± 0.78),2.96 (± 0.25)
31,base,1.35 (± 0.58),1.52 (± 0.64),1.04 (± 0.20),1.00 (± 0.00),1.76 (± 0.77),1.34 (± 0.47)
32,base,2.60 (± 0.86),3.93 (± 0.54),2.77 (± 0.46),1.01 (± 0.09),2.65 (± 0.80),2.03 (± 0.23)
33,base,1.33 (± 0.69),4.27 (± 0.97),1.48 (± 0.62),1.00 (± 0.00),1.70 (± 0.77),1.78 (± 0.53)
34,base,2.21 (± 0.99),2.82 (± 0.56),2.48 (± 0.51),1.04 (± 0.19),1.83 (± 0.78),1.73 (± 0.47)
35,base,1.78 (± 0.83),2.83 (± 0.42),2.04 (± 0.37),2.00 (± 0.00),2.38 (± 0.81),2.82 (± 0.40)
36,base,4.02 (± 1.16),3.50 (± 0.82),3.02 (± 0.19),4.05 (± 0.48),2.87 (± 0.62),3.02 (± 0.23)
