id,persona,llama3.1:8b,mistral:7b,qwen2.5:72b,llama3.3:70b,mistral-large:123b,qwen2.5:7b
1,Argentina,4.94 (± 0.24),3.50 (± 1.97),4.90 (± 0.30),5.00 (± 0.00),4.44 (± 0.63),4.27 (± 0.57)
1,Belgium,4.90 (± 0.30),2.14 (± 1.57),4.76 (± 0.43),5.00 (± 0.00),4.29 (± 0.68),4.38 (± 0.64)
1,Chile,4.98 (± 0.14),2.50 (± 1.73),4.86 (± 0.35),5.00 (± 0.00),4.58 (± 0.64),4.28 (± 0.76)
1,Colombia,4.96 (± 0.20),2.50 (± 1.73),4.84 (± 0.37),5.00 (± 0.00),4.55 (± 0.68),4.02 (± 0.59)
1,Egypt,5.00 (± 0.00),3.20 (± 2.05),4.96 (± 0.20),5.00 (± 0.00),4.51 (± 0.78),4.28 (± 0.61)
1,France,4.88 (± 0.33),2.11 (± 1.76),4.88 (± 0.33),5.00 (± 0.00),4.33 (± 0.68),4.38 (± 0.64)
1,Ireland,4.96 (± 0.20),1.67 (± 1.41),4.84 (± 0.37),5.00 (± 0.00),4.35 (± 0.65),4.24 (± 0.82)
1,Japan,4.88 (± 0.59),1.88 (± 1.64),4.96 (± 0.20),5.00 (± 0.00),4.18 (± 0.88),4.10 (± 0.71)
1,Kenya,4.90 (± 0.30),1.00 (± 0.00),4.90 (± 0.30),5.00 (± 0.00),4.76 (± 0.49),4.48 (± 0.58)
1,Mexico,4.94 (± 0.24),2.25 (± 1.75),4.94 (± 0.24),5.00 (± 0.00),4.39 (± 0.97),4.28 (± 0.76)
1,Morocco,4.96 (± 0.20),2.36 (± 1.50),4.92 (± 0.27),5.00 (± 0.00),4.39 (± 0.72),4.18 (± 0.44)
1,New Zealand,4.94 (± 0.24),3.71 (± 1.50),4.86 (± 0.35),5.00 (± 0.00),4.31 (± 0.67),3.98 (± 0.65)
1,Nigeria,4.90 (± 0.30),2.00 (± 2.00),4.80 (± 0.40),5.00 (± 0.00),4.49 (± 0.69),4.20 (± 0.61)
1,Peru,4.94 (± 0.24),3.12 (± 1.89),4.96 (± 0.20),5.00 (± 0.00),4.47 (± 0.83),4.42 (± 0.73)
1,Russia,4.72 (± 0.73),1.80 (± 1.79),4.90 (± 0.30),5.00 (± 0.00),3.83 (± 1.08),4.12 (± 0.52)
1,Saudi Arabia,4.98 (± 0.14),1.50 (± 1.22),4.98 (± 0.14),5.00 (± 0.00),4.41 (± 0.82),4.14 (± 0.53)
1,South Africa,4.90 (± 0.37),2.88 (± 2.03),4.78 (± 0.42),5.00 (± 0.00),4.63 (± 0.54),4.24 (± 0.56)
1,Switzerland,4.96 (± 0.20),2.60 (± 1.52),4.74 (± 0.44),5.00 (± 0.00),4.28 (± 0.64),4.14 (± 0.57)
1,UAE,4.94 (± 0.24),2.43 (± 1.90),4.96 (± 0.20),5.00 (± 0.00),4.61 (± 0.75),4.40 (± 0.64)
2,Argentina,3.14 (± 1.26),1.80 (± 1.79),3.02 (± 0.14),2.00 (± 0.00),3.31 (± 0.95),2.53 (± 0.68)
2,Belgium,3.20 (± 1.39),2.50 (± 1.91),2.98 (± 0.14),2.00 (± 0.00),3.22 (± 0.79),2.72 (± 0.64)
2,Chile,3.14 (± 1.44),2.20 (± 1.64),3.00 (± 0.00),2.00 (± 0.00),3.59 (± 0.80),2.77 (± 0.56)
2,Colombia,2.86 (± 1.39),4.25 (± 0.96),3.00 (± 0.00),2.00 (± 0.00),3.75 (± 0.71),2.83 (± 0.54)
2,Egypt,3.08 (± 1.50),1.40 (± 0.89),3.00 (± 0.00),2.00 (± 0.00),3.25 (± 0.81),2.68 (± 0.59)
2,France,3.02 (± 1.28),1.00 (± 0.00),3.04 (± 0.20),2.00 (± 0.00),3.03 (± 0.77),2.53 (± 0.62)
2,Ireland,2.88 (± 1.47),3.50 (± 1.73),3.02 (± 0.14),2.00 (± 0.00),3.33 (± 0.76),2.76 (± 0.52)
2,Japan,2.86 (± 1.29),2.33 (± 2.31),2.94 (± 0.24),2.00 (± 0.00),3.03 (± 0.84),2.76 (± 0.64)
2,Kenya,3.16 (± 1.33),1.00 (± nan0),3.00 (± 0.00),2.00 (± 0.00),3.53 (± 0.84),2.60 (± 0.61)
2,Mexico,3.04 (± 1.31),1.25 (± 0.50),3.02 (± 0.14),2.00 (± 0.00),3.64 (± 0.99),2.62 (± 0.61)
2,Morocco,3.14 (± 1.29),1.80 (± 1.79),2.98 (± 0.14),2.00 (± 0.00),3.49 (± 0.72),2.46 (± 0.58)
2,New Zealand,3.10 (± 1.19),2.67 (± 1.73),3.00 (± 0.00),2.00 (± 0.00),3.22 (± 0.82),2.65 (± 0.63)
2,Nigeria,2.86 (± 1.14),2.00 (± 2.00),3.00 (± 0.00),2.00 (± 0.00),3.39 (± 0.75),2.49 (± 0.62)
2,Peru,3.04 (± 1.29),,3.00 (± 0.00),2.00 (± 0.00),3.82 (± 0.72),2.69 (± 0.72)
2,Russia,3.09 (± 1.38),1.00 (± nan0),3.00 (± 0.00),2.00 (± 0.00),3.05 (± 0.51),2.71 (± 0.65)
2,Saudi Arabia,2.73 (± 1.35),2.25 (± 1.50),2.80 (± 0.40),2.00 (± 0.00),2.73 (± 0.85),2.80 (± 0.56)
2,South Africa,3.02 (± 1.46),1.00 (± nan0),3.00 (± 0.00),2.00 (± 0.00),3.44 (± 0.82),2.66 (± 0.60)
2,Switzerland,2.88 (± 1.26),1.00 (± 0.00),2.98 (± 0.14),2.00 (± 0.00),3.14 (± 0.77),2.66 (± 0.56)
2,UAE,3.59 (± 1.29),1.67 (± 1.15),3.00 (± 0.00),2.00 (± 0.00),2.71 (± 0.83),2.57 (± 0.61)
3,Argentina,3.22 (± 1.42),2.60 (± 1.67),4.04 (± 0.20),4.04 (± 0.20),3.85 (± 0.54),3.72 (± 0.57)
3,Belgium,3.02 (± 1.38),1.89 (± 1.76),3.98 (± 0.14),4.00 (± 0.00),3.88 (± 0.40),3.64 (± 0.53)
3,Chile,3.46 (± 1.42),3.00 (± 2.83),3.98 (± 0.14),4.00 (± 0.00),3.88 (± 0.65),3.66 (± 0.69)
3,Colombia,2.82 (± 1.27),2.50 (± 1.73),4.04 (± 0.20),4.00 (± 0.00),3.95 (± 0.31),3.69 (± 0.51)
3,Egypt,3.31 (± 1.31),2.11 (± 1.69),4.08 (± 0.27),4.00 (± 0.00),4.09 (± 0.57),3.80 (± 0.61)
3,France,3.70 (± 1.30),2.17 (± 1.83),3.96 (± 0.28),4.10 (± 0.30),3.68 (± 0.70),3.66 (± 0.63)
3,Ireland,3.12 (± 1.45),1.57 (± 1.51),4.02 (± 0.14),4.00 (± 0.00),3.94 (± 0.49),3.57 (± 0.65)
3,Japan,3.06 (± 1.36),2.25 (± 1.83),4.00 (± 0.29),4.04 (± 0.20),3.75 (± 0.62),3.60 (± 0.81)
3,Kenya,3.52 (± 1.43),3.00 (± 1.67),4.03 (± 0.16),4.00 (± 0.00),4.02 (± 0.64),3.88 (± 0.39)
3,Mexico,3.18 (± 1.62),1.00 (± 0.00),4.04 (± 0.28),4.00 (± 0.00),4.09 (± 0.47),3.38 (± 0.60)
3,Morocco,2.96 (± 1.51),1.00 (± 0.00),4.04 (± 0.20),4.00 (± 0.00),3.93 (± 0.45),3.59 (± 0.54)
3,New Zealand,3.10 (± 1.45),1.40 (± 1.26),4.00 (± 0.00),4.00 (± 0.00),3.78 (± 0.59),3.67 (± 0.55)
3,Nigeria,3.50 (± 1.31),2.67 (± 2.00),3.98 (± 0.14),4.00 (± 0.00),4.03 (± 0.43),3.71 (± 0.54)
3,Peru,3.12 (± 1.36),2.00 (± 2.00),4.00 (± 0.00),4.00 (± 0.00),3.91 (± 0.68),3.52 (± 0.55)
3,Russia,3.38 (± 1.51),1.57 (± 1.51),4.06 (± 0.24),4.18 (± 0.39),3.97 (± 0.64),3.71 (± 0.62)
3,Saudi Arabia,3.02 (± 1.50),1.33 (± 0.82),4.08 (± 0.27),4.12 (± 0.33),4.03 (± 0.65),3.67 (± 0.60)
3,South Africa,3.18 (± 1.45),3.00 (± 1.94),3.98 (± 0.14),4.00 (± 0.00),3.94 (± 0.68),3.90 (± 0.30)
